idx,GoTrial,StopSignal,Cond,trial_type,choice,response,acc,rt,ssd
40,0,250,pnl,stop,stop,0,1.0,0.6515677,250
40,1,1000,pnl,go,go,1,1.0,0.6117133000000001,1000
40,0,300,pnl,stop,stop,0,1.0,0.6517149999999999,300
40,1,1000,pnl,go,go,1,1.0,0.5583840999999999,1000
40,0,300,pnl,stop,stop,0,1.0,0.6516603,300
40,1,1000,pnl,go,go,1,1.0,0.5584357,1000
40,0,350,pnl,stop,stop,0,1.0,0.6513939000000001,350
40,1,1000,pnl,go,go,1,1.0,0.5584730000000001,1000
40,1,1000,pnl,go,go,1,1.0,0.6381581999999999,1000
40,0,350,pnl,stop,go,1,0.0,0.5052564,350
40,1,1000,pnl,go,stop,0,0.0,0.6517055,1000
40,0,250,pnl,stop,stop,0,1.0,0.6516921999999999,250
40,0,200,pnl,stop,stop,0,1.0,0.6516149999999999,200
40,1,1000,pnl,go,go,1,1.0,0.5185133,1000
40,0,400,pnl,stop,go,1,0.0,0.5716884,400
40,1,1000,pnl,go,go,1,1.0,0.5308016,1000
40,1,1000,pnl,go,go,1,1.0,0.5600784999999999,1000
40,0,400,pnl,stop,go,1,0.0,0.5717106,400
40,1,1000,pnl,go,go,1,1.0,0.5717012,1000
40,1,1000,pnl,go,go,1,1.0,0.5851044000000001,1000
40,1,1000,pnl,go,go,1,1.0,0.5705933000000001,1000
40,0,300,pnl,stop,stop,0,1.0,0.6518096999999999,300
40,0,250,pnl,stop,stop,0,1.0,0.6517033,250
40,0,200,pnl,stop,stop,0,1.0,0.6516071,200
40,1,1000,pnl,go,go,1,1.0,0.5451148,1000
40,0,200,pnl,stop,stop,0,1.0,0.6534444,200
40,1,1000,pnl,go,go,1,1.0,0.5317917999999999,1000
40,1,1000,pnl,go,go,1,1.0,0.611595,1000
40,0,400,pnl,stop,stop,0,1.0,0.6631996,400
40,1,1000,pnl,go,go,1,1.0,0.5983908,1000
40,1,1000,pnl,go,go,1,1.0,0.5450043000000001,1000
40,0,350,pnl,stop,stop,0,1.0,0.6507175999999999,350
40,1,1000,pnl,go,go,1,1.0,0.5584140999999999,1000
40,0,350,pnl,stop,stop,0,1.0,0.6517147,350
40,1,1000,pnl,go,go,1,1.0,0.6118906,1000
40,0,300,pnl,stop,stop,0,1.0,0.6507387,300
40,0,250,pnl,stop,stop,0,1.0,0.6528838,250
40,1,1000,pnl,go,go,1,1.0,0.5451569999999999,1000
40,0,300,pnl,stop,stop,0,1.0,0.6516664000000001,300
40,1,1000,pnl,go,go,1,1.0,0.5984555,1000
40,0,200,pnl,stop,stop,0,1.0,0.6535319999999999,200
40,0,250,pnl,stop,stop,0,1.0,0.6516637,250
40,1,1000,pnl,go,go,1,1.0,0.5450461000000001,1000
40,0,400,pnl,stop,go,1,0.0,0.5583176,400
40,1,1000,pnl,go,go,1,1.0,0.5585330000000001,1000
40,1,1000,pnl,go,stop,0,0.0,0.6515923,1000
40,0,350,pnl,stop,stop,0,1.0,0.6516816,350
40,1,1000,pnl,go,go,1,1.0,0.5718438,1000
40,1,1000,pnl,go,go,1,1.0,0.6250824,1000
40,1,1000,pnl,go,stop,0,0.0,0.6515798,1000
40,0,350,pnl,stop,go,1,0.0,0.5316187,350
40,1,1000,pnl,go,go,1,1.0,0.4934888000000001,1000
40,0,300,pnl,stop,stop,0,1.0,0.651641,300
40,1,1000,pnl,go,go,1,1.0,0.5582916,1000
40,0,250,pnl,stop,stop,0,1.0,0.6517208999999999,250
40,0,400,pnl,stop,go,1,0.0,0.5584679,400
40,1,1000,pnl,go,go,1,1.0,0.5469529000000001,1000
40,0,200,pnl,stop,stop,0,1.0,0.6517423000000001,200
40,1,1000,pnl,go,go,1,1.0,0.4936084,1000
40,1,1000,pnl,go,go,1,1.0,0.5849747,1000
