idx,rt
28,0.5682296661016951
29,0.5798843495726496
30,0.5785063276190476
31,0.5718813247863248
32,0.5851732547008549
33,0.5620007945454545
34,0.5727231731092436
35,0.5557360864406783
36,0.5600853846153846
37,0.5672292161016951
38,0.5668996722689074
39,0.5475592615384616
40,0.5699663384615385
41,0.5882673344537814
42,0.5463043325
43,0.5788949681415927
44,0.6017703889830509
45,0.5607192241071429
47,0.5693440371900824
48,0.5732559341666668
50,0.5731937284403672
51,0.58014773125
52,0.5377028541666664
54,0.5447474826086957
55,0.5607481175925925
56,0.5657532743362832
57,0.5398508245762711
58,0.5730720602040819
59,0.5740860978260872
60,0.5621694176991152
61,0.5368415047169812
62,0.5750556789915969
63,0.5484454785123969
65,0.5837384922413793
66,0.5578927758241756
67,0.5688520982608692
68,0.5570427091743118
69,0.5592580086956523
70,0.564222376068376
71,0.5444889641666669
72,0.5764429649572652
73,0.5603613017543859
74,0.5846286524999997
75,0.576629984
76,0.5721593363636364
77,0.5786510982758619
78,0.603369811111111
79,0.5980453141592923
80,0.5924097035398227
81,0.5667349629999998
82,0.5580480724770643
83,0.5498021297520665
84,0.5788117165137614
85,0.5410898533333336
86,0.5808458691588785
87,0.544023894214876
88,0.5779161034482757
89,0.6046598206896552
90,0.5941333168141592
95,0.5381625110169492
97,0.5464383068965517
