idx,rt
28,0.5503687508333333
29,0.5622084416666666
30,0.5892689807017543
31,0.5615527082644628
32,0.5844281808695654
33,0.5537858868421052
34,0.5561735365217392
35,0.549132070940171
36,0.5540795239316239
37,0.5697080117647058
38,0.5526417347457628
39,0.5284630581196582
40,0.5655443374999999
41,0.5884367341666665
42,0.5299401504201678
43,0.5908631233009707
44,0.5696830499999999
45,0.5594098033898306
47,0.5724541152542373
48,0.5424089495867768
50,0.5559438656862746
51,0.5978487342105265
52,0.5264630991735537
54,0.5245577194915254
55,0.5467379243478264
56,0.5649360605263158
57,0.5435597958677684
58,0.5824152035294116
59,0.573926738181818
60,0.5560470570247934
61,0.5868851196261683
62,0.5632946483050847
63,0.5280279603305782
65,0.5611662401869159
66,0.5711890933720927
67,0.5599065456896551
68,0.5427798870370372
69,0.5273601872727273
70,0.5863137411214954
71,0.5245153608333335
72,0.580038676724138
73,0.567397959322034
74,0.5727605542372886
75,0.5787519823529409
76,0.5590086715517242
77,0.5728997
78,0.6036023151515152
79,0.5614391805309733
80,0.5940905818181814
81,0.5755864983193275
82,0.5610505366972475
83,0.5582711859504131
84,0.5484228728813558
85,0.5288207319327732
86,0.5615630194690264
87,0.5375750256198347
88,0.5813361867346939
89,0.5870902974576272
90,0.5842211916666668
95,0.5184348008264463
97,0.5396945909090911
