idx,GoTrial,StopSignal,Cond,trial_type,choice,response,acc,rt,ssd
40,1,1000,bsl,go,go,1,1.0,0.5451172000000001,1000
40,0,350,bsl,stop,go,1,0.0,0.5315114000000001,350
40,1,1000,bsl,go,go,1,1.0,0.5599837,1000
40,0,350,bsl,stop,go,1,0.0,0.558455,350
40,0,200,bsl,stop,stop,0,1.0,0.6516512,200
40,0,250,bsl,stop,stop,0,1.0,0.6516406,250
40,0,400,bsl,stop,go,1,0.0,0.5468849,400
40,1,1000,bsl,go,go,1,1.0,0.5984202000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5717154000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5582949,1000
40,1,1000,bsl,go,go,1,1.0,0.5851641,1000
40,0,200,bsl,stop,stop,0,1.0,0.6515254,200
40,0,300,bsl,stop,stop,0,1.0,0.651636,300
40,1,1000,bsl,go,go,1,1.0,0.5317156,1000
40,0,400,bsl,stop,go,1,0.0,0.5984430000000001,400
40,1,1000,bsl,go,go,1,1.0,0.5850495,1000
40,1,1000,bsl,go,go,1,1.0,0.6383300999999999,1000
40,0,350,bsl,stop,go,1,0.0,0.5318501999999999,350
40,1,1000,bsl,go,go,1,1.0,0.5984008000000001,1000
40,0,250,bsl,stop,stop,0,1.0,0.6517594,250
40,1,1000,bsl,go,go,1,1.0,0.5983816000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5185125,1000
40,0,350,bsl,stop,go,1,0.0,0.5587131999999999,350
40,1,1000,bsl,go,go,1,1.0,0.5712754999999999,1000
40,0,400,bsl,stop,go,1,0.0,0.5321563,400
40,1,1000,bsl,go,go,1,1.0,0.6384525,1000
40,0,250,bsl,stop,stop,0,1.0,0.6514864,250
40,0,200,bsl,stop,stop,0,1.0,0.6515144,200
40,1,1000,bsl,go,go,1,1.0,0.5848490000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5183936,1000
40,0,400,bsl,stop,go,1,0.0,0.5451269999999999,400
40,0,200,bsl,stop,stop,0,1.0,0.6517034,200
40,1,1000,bsl,go,go,1,1.0,0.571759,1000
40,1,1000,bsl,go,go,1,1.0,0.5851235,1000
40,1,1000,bsl,go,go,1,1.0,0.491807,1000
40,0,300,bsl,stop,stop,0,1.0,0.6533758000000001,300
40,0,300,bsl,stop,stop,0,1.0,0.6527933000000001,300
40,1,1000,bsl,go,go,1,1.0,0.5718345,1000
40,0,300,bsl,stop,stop,0,1.0,0.6527015,300
40,1,1000,bsl,go,go,1,1.0,0.5583149000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5601,1000
40,0,200,bsl,stop,stop,0,1.0,0.6534938,200
40,1,1000,bsl,go,go,1,1.0,0.5849791999999999,1000
40,1,1000,bsl,go,go,1,1.0,0.5051424,1000
40,0,200,bsl,stop,stop,0,1.0,0.6516506000000001,200
40,1,1000,bsl,go,go,1,1.0,0.5601729999999999,1000
40,0,350,bsl,stop,go,1,0.0,0.6252084,350
40,1,1000,bsl,go,go,1,1.0,0.6116512000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5451142999999999,1000
40,0,250,bsl,stop,stop,0,1.0,0.6515861,250
40,1,1000,bsl,go,go,1,1.0,0.5317155,1000
40,1,1000,bsl,go,go,1,1.0,0.5983725000000001,1000
40,0,400,bsl,stop,go,1,0.0,0.5450893,400
40,0,300,bsl,stop,stop,0,1.0,0.6516833000000001,300
40,0,250,bsl,stop,stop,0,1.0,0.6517018000000001,250
40,1,1000,bsl,go,go,1,1.0,0.5984794000000001,1000
40,0,350,bsl,stop,stop,0,1.0,0.6517573,350
40,0,400,bsl,stop,go,1,0.0,0.5870134,400
40,1,1000,bsl,go,go,1,1.0,0.5583329,1000
40,0,400,bsl,stop,go,1,0.0,0.5582543000000001,400
40,1,1000,bsl,go,go,1,1.0,0.5717612000000001,1000
40,0,200,bsl,stop,stop,0,1.0,0.6516944,200
40,1,1000,bsl,go,go,1,1.0,0.5850207000000001,1000
40,0,200,bsl,stop,stop,0,1.0,0.6515843000000001,200
40,1,1000,bsl,go,go,1,1.0,0.5584306,1000
