idx,Cond,ttype,choice,response,acc,rt,ssd
28,bsl,stop,stop,0,1,0.6518774,250
28,bsl,go,go,1,1,0.545091,1000
28,bsl,stop,stop,0,1,0.6517829,300
28,bsl,go,go,1,1,0.5602306,1000
28,bsl,stop,stop,0,1,0.6516336,200
28,bsl,stop,stop,0,1,0.6529068,250
28,bsl,go,go,1,1,0.5583001,1000
28,bsl,stop,go,1,0,0.4652244,400
28,bsl,go,go,1,1,0.5850319,1000
28,bsl,go,go,1,1,0.5318513,1000
28,bsl,stop,go,1,0,0.5583965,350
28,bsl,go,go,1,1,0.6116719,1000
28,bsl,go,go,1,1,0.5979278,1000
28,bsl,go,go,1,1,0.5317874,1000
28,bsl,stop,stop,0,1,0.6516256,350
28,bsl,go,go,1,1,0.5582895,1000
28,bsl,stop,stop,0,1,0.651778,300
28,bsl,go,go,1,1,0.5715983,1000
28,bsl,stop,stop,0,1,0.6515567,250
28,bsl,stop,go,1,0,0.5317865,400
28,bsl,go,go,1,1,0.5317882,1000
28,bsl,stop,stop,0,1,0.6516624,200
28,bsl,go,go,1,1,0.5466778,1000
28,bsl,go,go,1,1,0.5585238,1000
28,bsl,stop,stop,0,1,0.6516851,250
28,bsl,stop,stop,0,1,0.651748,300
28,bsl,go,go,1,1,0.5051567,1000
28,bsl,go,go,1,1,0.5451154,1000
28,bsl,stop,stop,0,1,0.6516658,350
28,bsl,go,go,1,1,0.5717515,1000
28,bsl,go,go,1,1,0.5584585,1000
28,bsl,stop,stop,0,1,0.6518252,200
28,bsl,go,go,1,1,0.5041195,1000
28,bsl,stop,stop,0,1,0.6521593,250
28,bsl,stop,stop,0,1,0.6516111,200
28,bsl,go,go,1,1,0.5051712,1000
28,bsl,stop,go,1,0,0.5316538,400
28,bsl,go,go,1,1,0.6001673,1000
28,bsl,stop,go,1,0,0.5317663,400
28,bsl,go,go,1,1,0.5452175,1000
28,bsl,stop,stop,0,1,0.6511832,350
28,bsl,stop,stop,0,1,0.6534564,300
28,bsl,go,go,1,1,0.5451833,1000
28,bsl,go,go,1,1,0.5584931,1000
28,bsl,go,go,1,1,0.5851514,1000
28,bsl,stop,stop,0,1,0.6519211,200
28,bsl,stop,stop,0,1,0.6517355,350
28,bsl,stop,stop,0,1,0.6515482,200
28,bsl,stop,stop,0,1,0.6518694,250
28,bsl,stop,stop,0,1,0.651701,250
28,bsl,go,go,1,1,0.5050721,1000
28,bsl,stop,go,1,0,0.5716169,400
28,bsl,stop,stop,0,1,0.6516511,300
28,bsl,go,go,1,1,0.5717522,1000
28,bsl,stop,stop,0,1,0.6517118,300
28,bsl,go,go,1,1,0.61173,1000
28,bsl,stop,go,1,0,0.5448164,400
28,bsl,go,go,1,1,0.5584095,1000
28,bsl,stop,stop,0,1,0.6517656,350
28,bsl,go,go,1,1,0.5984561,1000
28,bsl,go,go,1,1,0.6251193,1000
28,bsl,go,go,1,1,0.5584554,1000
28,bsl,go,go,1,1,0.5584315,1000
28,bsl,go,go,1,1,0.6250649,1000
28,bsl,go,go,1,1,0.4785004,1000
28,bsl,stop,go,1,0,0.5449771,400
28,bsl,stop,stop,0,1,0.6516831,200
28,bsl,go,go,1,1,0.5581216,1000
28,bsl,go,go,1,1,0.5451498,1000
28,bsl,go,go,1,1,0.5851139,1000
28,bsl,go,go,1,1,0.5051451,1000
28,bsl,go,go,1,1,0.5984759,1000
28,bsl,stop,go,1,0,0.5185497,350
28,bsl,go,go,1,1,0.4916766,1000
28,bsl,stop,stop,0,1,0.6517743,200
28,bsl,stop,stop,0,1,0.6516505,300
28,bsl,go,go,1,1,0.5850326,1000
28,bsl,stop,stop,0,1,0.6516869,250
28,bsl,stop,go,1,0,0.5459767,400
28,bsl,go,go,1,1,0.5318838,1000
28,bsl,go,go,1,1,0.5584486,1000
28,bsl,stop,stop,0,1,0.6533353,300
28,bsl,stop,stop,0,1,0.6518146,250
28,bsl,stop,go,1,0,0.4918333,350
28,bsl,go,go,1,1,0.5453453,1000
28,pnl,go,go,1,1,0.5202535,1000
28,pnl,go,go,1,1,0.6253761,1000
28,pnl,go,go,1,1,0.5982146,1000
28,pnl,go,go,1,1,0.5450938,1000
28,pnl,go,go,1,1,0.5183792,1000
28,pnl,go,go,1,1,0.4918417,1000
28,pnl,go,go,1,1,0.5186465,1000
28,pnl,go,go,1,1,0.4917705,1000
28,pnl,go,go,1,1,0.5052381,1000
28,pnl,go,go,1,1,0.5052567,1000
28,pnl,go,go,1,1,0.5051695,1000
28,pnl,go,go,1,1,0.5459087,1000
28,pnl,stop,stop,0,1,0.6516552,300
28,pnl,go,go,1,1,0.5973591,1000
28,pnl,go,go,1,1,0.5718464,1000
28,pnl,stop,go,1,0,0.5851239,350
28,pnl,go,go,1,1,0.5586394,1000
28,pnl,go,go,1,1,0.6251814,1000
28,pnl,stop,stop,0,1,0.6515701,250
28,pnl,stop,go,1,0,0.5185425,350
28,pnl,go,go,1,1,0.5317465,1000
28,pnl,go,go,1,1,0.6118085,1000
28,pnl,stop,stop,0,1,0.6517102,250
28,pnl,go,go,1,1,0.5450424,1000
28,pnl,go,go,1,1,0.6118238,1000
28,pnl,go,go,1,1,0.5851219,1000
28,pnl,go,go,1,1,0.545156,1000
28,pnl,stop,go,1,0,0.6117118,400
28,pnl,stop,stop,0,1,0.6517811,200
28,pnl,stop,go,1,0,0.6118103,400
28,pnl,stop,stop,0,1,0.6517971,200
28,pnl,stop,stop,0,1,0.6518812,300
