idx,pGo,Cond,response,choice,rt,HL
1,0.8,bsl,1,go,0.5450575,1
1,0.0,bsl,0,stop,0.5450892,2
1,0.2,bsl,0,stop,0.545071,2
1,0.8,bsl,1,go,0.4917834,1
1,0.0,bsl,0,stop,0.5450162,2
1,1.0,bsl,1,go,0.5183672,1
1,0.2,bsl,0,stop,0.5451656,2
1,0.4,bsl,1,go,0.5450835,2
1,0.4,bsl,1,go,0.491777,2
1,0.0,bsl,0,stop,0.5450608,2
1,0.6,bsl,1,go,0.5318615,1
1,0.4,bsl,1,go,0.5451391,2
1,0.6,bsl,1,go,0.5451653,1
1,0.4,bsl,1,go,0.5451111,2
1,1.0,bsl,1,go,0.4785576,1
1,1.0,bsl,1,go,0.4784797,1
1,0.8,bsl,1,go,0.5052553,1
1,0.4,bsl,1,go,0.5451986,2
1,0.4,bsl,1,go,0.5450405,2
1,0.2,bsl,0,stop,0.5451722,2
1,0.6,bsl,1,go,0.5318023,1
1,0.0,bsl,0,stop,0.5582575,2
1,0.8,bsl,1,go,0.4651372,1
1,0.6,bsl,1,go,0.545142,1
1,0.4,bsl,1,go,0.5452652,2
1,1.0,bsl,1,go,0.4917537,1
1,0.4,bsl,1,go,0.5452153,2
1,1.0,bsl,1,go,0.518518,1
1,0.6,bsl,1,go,0.5451933,1
1,1.0,bsl,1,go,0.5184345,1
1,0.6,bsl,1,go,0.5318044,1
1,0.0,bsl,0,stop,0.5450591,2
1,0.8,bsl,1,go,0.518416,1
1,0.8,bsl,1,go,0.5451641,1
1,0.2,bsl,0,stop,0.546792,2
1,0.0,bsl,0,stop,0.5451706,2
1,0.2,bsl,0,stop,0.545188,2
1,0.2,bsl,0,stop,0.5451308,2
1,0.0,bsl,0,stop,0.5451319,2
1,1.0,bsl,1,go,0.5184716,1
1,1.0,bsl,1,go,0.4919263,1
1,0.8,bsl,1,go,0.5451538,1
1,0.6,bsl,1,go,0.5451738,1
1,0.2,bsl,1,go,0.5583708,2
1,0.0,bsl,0,stop,0.5450998,2
1,0.6,bsl,1,go,0.531962,1
1,0.0,bsl,0,stop,0.5451079,2
